StudentID,Name,Grade,Age,Club,SignupDate
15,Student_15,9,15,Drama,29-Feb-24
16,Student_16,12,17,Drama,1/21/24
17,Student_17,11,15,Art,2-Feb-24
18,Student_18,12,144,Science,16-Mar-24
19,Student_19,10,15,Art,27-Feb-24
20,Student_20,12,,Basketball,22-Jan-24
21,Student_21,10,15,Music,29-Mar-24
22,Student_22,9,14,Drama,2/18/24
23,Student_23,10,16,Music,3/31/24
24,Student_24,12,17,Music,28-Feb-24
25,Student_25,11,,Drama,2/11/24
26,Student_26,11,16,Drama,1-Apr-24
27,Student_27,12,17,Basketball,2/29/24
28,Student_28,11,,Science,3/20/24
29,Student_29,11,,Music,1/15/24
30,Student_30,10,16,Science,3/2/24
31,Student_31,11,17,Drama,3/2/24
32,Student_32,11,16,Science,2/16/24
33,Student_33,10,,Drama,3/2/24
34,Student_34,12,17,Music,2/20/24
